Day,Month,Temp2,preci,pollen,EVI
5/19/2012,May,10,0.100098,113.4259259,4256.924316
5/20/2012,May,12.1,0.100098,37.80864198,4483.301758
5/21/2012,May,14.5,0.1061,93.62139918,4483.301758
5/22/2012,May,15,1.19995,10.80246914,4483.301758
5/23/2012,May,15.9,6.6001,0,4685.886719
5/24/2012,May,18.2,5,143.6237374,4685.886719
5/25/2012,May,16.8,0.111867,187.8156566,4685.886719
5/26/2012,May,11.8,0.217648,243.0555556,4861.226563
5/27/2012,May,12.9,0.186508,149.4341564,4861.226563
5/28/2012,May,14.3,1.23447,325.8744856,4861.226563
5/29/2012,May,13.2,12.2,75.61728395,5008.905762
5/30/2012,May,14.1,3,3.600823045,5008.905762
5/31/2012,May,17.3,2.80005,567.8661616,5008.905762
6/1/2012,June,17.5,0.800049,320.3914141,5130.886719
6/2/2012,June,17.2,0.400146,86.17424242,5130.886719
6/3/2012,June,21.9,0.600098,859.5328283,5130.886719
6/4/2012,June,21.7,0.300049,1100.378788,5230.037598
6/5/2012,June,24.2,0.5,455.1767677,5230.037598
6/6/2012,June,23.8,0.100098,490.530303,5230.037598
6/7/2012,June,22,2.90015,59.65909091,5309.773438
6/8/2012,June,19.3,0.156418,170.1388889,5309.773438
6/9/2012,June,15.2,0.10763,448.3024691,5309.773438
6/10/2012,June,17.9,8.5,32.40740741,5373.452637
6/11/2012,June,16.8,1,16.2037037,5373.452637
6/12/2012,June,11.7,3.19995,3.600823045,5373.452637
6/13/2012,June,12.3,0.300049,9.002057613,5423.79248
6/14/2012,June,14.7,0.400146,10.80246914,5423.79248
6/15/2012,June,16.6,0.400146,5.401234568,5423.79248
6/16/2012,June,18.1,0.100098,99.02263374,5463.452637
6/17/2012,June,16.3,0.288069,25.20576132,5463.452637
6/18/2012,June,20.1,1.5,27.00617284,5463.452637
6/19/2012,June,18,0.100098,12.60288066,5494.73584
6/20/2012,June,15.8,3.6001,5.401234568,5494.73584
6/21/2012,June,20.1,5.19995,5.401234568,5494.73584
6/22/2012,June,18.8,0.100098,23.40534979,5518.811523
6/23/2012,June,19,0.192002,19.80452675,5518.811523
6/24/2012,June,17.6,0.82805,32.40740741,5518.811523
6/25/2012,June,16.4,0.202898,19.80452675,5537.169922
6/26/2012,June,15,0.100098,10.80246914,5537.169922
6/27/2012,June,17.4,0.145343,27.00617284,5537.169922
6/28/2012,June,25.2,0.426933,30.60699588,5550.509277
6/29/2012,June,28.9,0.997307,18.00411523,5550.509277
6/30/2012,June,28.3,4.80005,32.40740741,5550.509277
7/1/2012,July,26.5,0.300049,23.40534979,5560.075684
7/2/2012,July,22.7,0.15235,27.00617284,5560.075684
7/3/2012,July,23.3,2.69995,10.80246914,5560.075684
7/4/2012,July,18,0.176687,21.60493827,5565.301758
7/5/2012,July,20.7,0.162589,64.81481481,5565.301758
7/6/2012,July,23.1,0.262501,15.46717172,5565.301758
7/7/2012,July,27.7,0.600098,22.0959596,5566.943359
7/8/2012,July,29.1,0.255727,59.65909091,5566.943359
7/9/2012,July,28.2,0.400146,33.14393939,5566.943359
7/10/2012,July,25.8,0.117355,10.80246914,5568.679199
7/11/2012,July,25.7,0.106026,14.40329218,5568.679199
7/12/2012,July,28.2,0.699951,7.201646091,5568.679199
7/13/2012,July,30.8,0.100098,17.67676768,5567.868164
7/14/2012,July,27.8,0.300523,26.51515152,5567.868164
7/15/2012,July,30.5,0.100098,15.46717172,5567.868164
7/16/2012,July,30.8,0.5,2.20959596,5566.547363
7/17/2012,July,27.5,0.100098,13.25757576,5566.547363
7/18/2012,July,24.7,0.100098,6.628787879,5566.547363
7/19/2012,July,25.4,0.900146,8.838383838,5564.79248
7/20/2012,July,25.4,0.100098,3.314393939,5564.79248
7/21/2012,July,26,0.100098,22.0959596,5564.79248
7/22/2012,July,24.4,0.300049,5.401234568,5561.924316
7/23/2012,July,25.6,0.300049,3.600823045,5561.924316
7/24/2012,July,30.3,4.40015,5.401234568,5561.924316
7/25/2012,July,29.7,0.260802,10.80246914,5558.188477
7/26/2012,July,31.9,5.80005,14.40329218,5558.188477
7/27/2012,July,25.9,1,0,5558.188477
7/28/2012,July,18.7,6.6001,0,5553.679199
7/29/2012,July,20.7,0.100098,0,5553.679199
7/30/2012,July,22.5,0.100098,13.25757576,5553.679199
7/31/2012,July,26.7,3.1001,0,5548.094238
8/1/2012,August,29.5,0.800049,9.002057613,5548.094238
8/2/2012,August,24.7,0.322814,3.600823045,5548.094238
8/3/2012,August,23.4,2.30005,8.838383838,5541.301758
8/4/2012,August,30,1,5.523989899,5541.301758
8/5/2012,August,25.4,4.90015,3.314393939,5541.301758
8/6/2012,August,24.1,3.30005,4.419191919,5533.019043
8/7/2012,August,25.6,0.100098,4.419191919,5533.019043
8/8/2012,August,23.5,0.110827,0,5533.019043
8/9/2012,August,22.6,10.4001,9.002057613,5522.886719
8/10/2012,August,27.4,0.199951,3.600823045,5522.886719
8/11/2012,August,28.8,0.164316,14.40329218,5522.886719
8/12/2012,August,29,1.6001,7.201646091,5510.415039
8/13/2012,August,26.9,2.30005,3.600823045,5510.415039
8/14/2012,August,29.5,1.5,16.2037037,5510.415039
8/15/2012,August,24.1,0.313849,10.80246914,5495.584961
8/16/2012,August,25.1,0.233083,7.201646091,5495.584961
8/17/2012,August,26.5,1,5.237560793,5495.584961
8/18/2012,August,24.5,8.40015,1.800411523,5477.886719
8/19/2012,August,26.4,0.5,7.201646091,5477.886719
8/20/2012,August,26.3,0.600098,10.80246914,5477.886719
8/21/2012,August,25.2,0.186365,14.40329218,5456.622559
8/22/2012,August,21.4,1.30005,3.600823045,5456.622559
8/23/2012,August,23.4,3,1.800411523,5456.622559
8/24/2012,August,25.4,0.100098,10.80246914,5431.169922
8/25/2012,August,23.2,0.100098,30.60699588,5431.169922
8/26/2012,August,22,8.30005,23.40534979,5431.169922
8/27/2012,August,22,0.632238,7.201646091,5400.943359
8/28/2012,August,18.5,0.100098,12.60288066,5400.943359
8/29/2012,August,21.8,0.199951,28.80658436,5400.943359
8/30/2012,August,22.4,0.100098,12.60288066,5364.886719
8/31/2012,August,23.1,0.198671,18.00411523,5364.886719
